,title,link
205,Information,https://en.wikipedia.org/wiki/Information
206,Mass noun,https://en.wikipedia.org/wiki/Mass_noun
207,Statistical inference,https://en.wikipedia.org/wiki/Statistical_inference
208,Sample (statistics),https://en.wikipedia.org/wiki/Sample_(statistics)
209,Statistical population,https://en.wikipedia.org/wiki/Statistical_population
210,Statistical inference,https://en.wikipedia.org/wiki/Statistical_inference
211,Data analysis,https://en.wikipedia.org/wiki/Data_analysis
212,Probability distribution,https://en.wikipedia.org/wiki/Probability_distribution
213,Statistical population,https://en.wikipedia.org/wiki/Statistical_population
214,Sampling (statistics),https://en.wikipedia.org/wiki/Sampling_(statistics)
215,Descriptive statistics,https://en.wikipedia.org/wiki/Descriptive_statistics
216,Independent identically distributed,https://en.wikipedia.org/wiki/Independent_identically_distributed
217,Probability distribution,https://en.wikipedia.org/wiki/Probability_distribution
218,Statistical inference,https://en.wikipedia.org/wiki/Statistical_inference
219,Estimation theory,https://en.wikipedia.org/wiki/Estimation_theory
220,Random sample,https://en.wikipedia.org/wiki/Random_sample
221,Random vector,https://en.wikipedia.org/wiki/Random_vector
222,Column vector,https://en.wikipedia.org/wiki/Column_vector
223,Statistical population,https://en.wikipedia.org/wiki/Statistical_population
224,Estimator,https://en.wikipedia.org/wiki/Estimator
225,Sample mean,https://en.wikipedia.org/wiki/Sample_mean
226,Sample variance,https://en.wikipedia.org/wiki/Sample_variance
227,Sample covariance,https://en.wikipedia.org/wiki/Sample_covariance
228,Pivotal quantity,https://en.wikipedia.org/wiki/Pivotal_quantity
229,Z-score,https://en.wikipedia.org/wiki/Z-score
230,Chi-squared distribution,https://en.wikipedia.org/wiki/Chi-squared_distribution#Applications
231,Mean squared error,https://en.wikipedia.org/wiki/Mean_squared_error
232,Efficient estimator,https://en.wikipedia.org/wiki/Efficient_estimator
233,Unbiased estimator,https://en.wikipedia.org/wiki/Unbiased_estimator
234,Expected value,https://en.wikipedia.org/wiki/Expected_value
235,True value,https://en.wikipedia.org/wiki/True_value
236,Limit (mathematics),https://en.wikipedia.org/wiki/Limit_(mathematics)
237,UMVUE,https://en.wikipedia.org/wiki/UMVUE
238,Consistent estimator,https://en.wikipedia.org/wiki/Consistent_estimator
239,Converges in probability,https://en.wikipedia.org/wiki/Converges_in_probability
240,Method of moments (statistics),https://en.wikipedia.org/wiki/Method_of_moments_(statistics)
241,Maximum likelihood,https://en.wikipedia.org/wiki/Maximum_likelihood
242,Least squares,https://en.wikipedia.org/wiki/Least_squares
243,Estimating equations,https://en.wikipedia.org/wiki/Estimating_equations
244,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
245,Statistical power,https://en.wikipedia.org/wiki/Statistical_power
246,Type II error,https://en.wikipedia.org/wiki/Type_II_error
247,Statisticians,https://en.wikipedia.org/wiki/Statisticians
248,Alternative hypothesis,https://en.wikipedia.org/wiki/Alternative_hypothesis
249,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
250,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
251,Type I and type II errors,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors#Type_I_error
252,Type I and type II errors,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors#Type_II_error
253,Standard deviation,https://en.wikipedia.org/wiki/Standard_deviation
254,Standard error (statistics),https://en.wikipedia.org/wiki/Standard_error_(statistics)#Standard_error_of_the_mean
255,Errors and residuals in statistics,https://en.wikipedia.org/wiki/Errors_and_residuals_in_statistics#Introduction
256,Expected value,https://en.wikipedia.org/wiki/Expected_value
257,Errors and residuals in statistics,https://en.wikipedia.org/wiki/Errors_and_residuals_in_statistics#Introduction
258,Mean squared error,https://en.wikipedia.org/wiki/Mean_squared_error
259,Efficient estimators,https://en.wikipedia.org/wiki/Efficient_estimators
260,Root mean square error,https://en.wikipedia.org/wiki/Root_mean_square_error
